Id,FirstName,LastName,Email,Phone,AccountId,Title,MailingCity,MailingCountry
003fj00000Tm5eDAAR,Rose,Gonzalez,rose@edge.com,(512) 757-6000,001fj00000Wns6XAAR,"SVP, Procurement",,
003fj00000Tm5eEAAR,Sean,Forbes,sean@edge.com,(512) 757-6000,001fj00000Wns6XAAR,CFO,,
003fj00000Tm5eFAAR,Jack,Rogers,jrogers@burlington.com,(336) 222-7000,001fj00000Wns6YAAR,"VP, Facilities",Burlington,USA
003fj00000Tm5eGAAR,Pat,Stumuller,pat@pyramid.net,(014) 427-4427,001fj00000Wns6ZAAR,"SVP, Administration and Finance",Paris,France
003fj00000Tm5eHAAR,Andy,Young,a_young@dickenson.com,(785) 241-6200,001fj00000Wns6aAAB,"SVP, Operations",Lawrence,United States
003fj00000Tm5eIAAR,Tim,Barr,barr_tim@grandhotels.com,(312) 596-1000,001fj00000Wns6bAAB,"SVP, Administration and Finance",,
003fj00000Tm5eJAAR,John,Bond,bond_john@grandhotels.com,(312) 596-1000,001fj00000Wns6bAAB,"VP, Facilities",,
003fj00000Tm5eKAAR,Stella,Pavlova,spavlova@uog.com,(212) 842-5500,001fj00000Wns6cAAB,"SVP, Production",,
003fj00000Tm5eLAAR,Lauren,Boyle,lboyle@uog.com,(212) 842-5500,001fj00000Wns6cAAB,"SVP, Technology",,
003fj00000Tm5eMAAR,Babara,Levy,b.levy@expressl&t.net,(503) 421-7800,001fj00000Wns6dAAB,"SVP, Operations",,
003fj00000Tm5eNAAR,Josh,Davis,j.davis@expressl&t.net,(503) 421-7800,001fj00000Wns6dAAB,"Director, Warehouse Mgmt",,
003fj00000Tm5eOAAR,Jane,Grey,jane_gray@uoa.edu,(520) 773-9050,001fj00000Wns6eAAB,Dean of Administration,,
003fj00000Tm5ePAAR,Arthur,Song,asong@uog.com,(212) 842-5500,001fj00000Wns6cAAB,CEO,,
003fj00000Tm5eQAAR,Ashley,James,ajames@uog.com,+44 191 4956203,001fj00000Wns6fAAB,"VP, Finance",,
003fj00000Tm5eRAAR,Tom,Ripley,tripley@uog.com,(650) 450-8810,001fj00000Wns6gAAB,Regional General Manager,,
003fj00000Tm5eSAAR,Liz,D'Cruz,ldcruz@uog.com,(650) 450-8810,001fj00000Wns6gAAB,"VP, Production",,
003fj00000Tm5eTAAR,Edna,Frank,efrank@genepoint.com,(650) 867-3450,001fj00000Wns6hAAB,"VP, Technology",,
003fj00000Tm5eUAAR,Avi,Green,agreen@uog.com,(212) 842-5500,001fj00000Wns6cAAB,CFO,,
003fj00000Tm5eVAAR,Siddartha,Nedaerk,,,001fj00000Wns6iAAB,,San Francisco,US
